track_name,artist,released_year,released_month,released_day,in_spotify_playlists,streams,bpm,key,mode
Seven (feat. Latto) (Explicit Ver.),"Latto, Jung Kook",2023,7,14,553,141381703,125,B,Major
LALA,Myke Towers,2023,3,23,1474,133716286,92,C#,Major
vampire,Olivia Rodrigo,2023,6,30,1397,140003974,138,F,Major
Cruel Summer,Taylor Swift,2019,8,23,7858,800840817,170,A,Major
WHERE SHE GOES,Bad Bunny,2023,5,18,3133,303236322,144,A,Minor
Sprinter,"Dave, Central Cee",2023,6,1,2186,183706234,141,C#,Major
Ella Baila Sola,"Eslabon Armado, Peso Pluma",2023,3,16,3090,725980112,148,F,Minor
Columbia,Quevedo,2023,7,7,714,58149378,100,F,Major
fukumean,Gunna,2023,5,15,1096,95217315,130,C#,Minor
La Bebe - Remix,"Peso Pluma, Yng Lvcas",2023,3,17,2953,553634067,170,D,Minor
un x100to,"Bad Bunny, Grupo Frontera",2023,4,17,2876,505671438,83,F#,Minor
Super Shy,NewJeans,2023,7,7,422,58255150,150,F,Minor
Flowers,Miley Cyrus,2023,1,12,12211,1316855716,118,,Major
Daylight,David Kushner,2023,4,14,3528,387570742,130,D,Minor
As It Was,Harry Styles,2022,3,31,23575,2513188493,174,F#,Minor
Kill Bill,SZA,2022,12,8,8109,1163093654,89,G#,Major
Cupid - Twin Ver.,Fifty Fifty,2023,2,24,2942,496795686,120,B,Minor
"What Was I Made For? [From The Motion Picture ""Barbie""]",Billie Eilish,2023,7,13,873,30546883,78,,Major
Classy 101,"Feid, Young Miko",2023,3,31,2610,335222234,100,B,Major
Like Crazy,Jimin,2023,3,24,596,363369738,120,G,Major
LADY GAGA,"Gabito Ballesteros, Junior H, Peso Pluma",2023,6,22,332,86444842,140,F,Minor
I Can See You (Taylor���s Version) (From The ,Taylor Swift,2023,7,7,516,52135248,123,F#,Major
I Wanna Be Yours,Arctic Monkeys,2013,1,1,12859,1297026226,135,,Minor
"Peso Pluma: Bzrp Music Sessions, Vol. 55","Bizarrap, Peso Pluma",2023,5,31,1313,200647221,133,F,Minor
Popular (with Playboi Carti & Madonna) - The Idol Vol. 1 (Music from the HBO Original Series),"The Weeknd, Madonna, Playboi Carti",2023,6,2,1945,115364561,99,C#,Major
SABOR FRESA,Fuerza Regida,2023,6,22,250,78300654,130,G,Minor
Calm Down (with Selena Gomez),"R��ma, Selena G",2022,3,25,7112,899183384,107,B,Major
MOJABI GHOST,"Tainy, Bad Bunny",2023,6,29,859,61245289,122,F#,Minor
Last Night,Morgan Wallen,2023,1,31,2420,429829812,204,F#,Major
Dance The Night (From Barbie The Album),Dua Lipa,2023,5,25,2988,127408954,110,B,Minor
Rush,Troye Sivan,2023,7,13,864,22581161,126,F,Minor
TULUM,"Peso Pluma, Grupo Frontera",2023,6,28,266,52294266,168,F#,Major
Creepin',"The Weeknd, 21 Savage, Metro Boomin",2022,12,2,6036,843957510,98,C#,Minor
Anti-Hero,Taylor Swift,2022,10,21,9082,999748277,97,E,Major
TQG,"Karol G, Shakira",2023,2,23,4284,618990393,180,E,Minor
Los del Espacio,"Big One, Duki, Lit Killah, Maria Becerra, FMK, Rusherking, Emilia, Tiago pzk",2023,6,1,1150,123122413,120,,Major
Fr��gil (feat. Grupo Front,"Yahritza Y Su Esencia, Grupo Frontera",2023,4,7,672,188933502,150,F#,Major
Blank Space,Taylor Swift,2014,1,1,11434,1355959075,96,F,Major
Style,Taylor Swift,2014,1,1,7830,786181836,95,D,Major
TQM,Fuerza Regida,2023,5,19,584,176553476,125,F,Minor
El Azul,"Junior H, Peso Pluma",2023,2,10,692,354495408,144,A,Minor
Sunflower - Spider-Man: Into the Spider-Verse,"Post Malone, Swae Lee",2018,10,9,24094,2808096550,90,D,Major
I'm Good (Blue),"Bebe Rexha, David Guetta",2022,8,26,12482,1109433169,128,G,Minor
See You Again,"Tyler, The Creator, Kali Uchis",2017,7,21,13387,1047101291,79,F#,Major
Barbie World (with Aqua) [From Barbie The Album],"Nicki Minaj, Aqua, Ice Spice",2023,6,23,1117,65156199,144,,Major
Angels Like You,Miley Cyrus,2020,11,27,3372,570515054,122,F,Major
I Ain't Worried,OneRepublic,2022,5,13,8431,1085685420,140,,Major
Die For You,The Weeknd,2016,11,24,2483,1647990401,134,C#,Minor
Starboy,"The Weeknd, Daft Punk",2016,9,21,29536,2565529693,186,G,Major
Die For You - Remix,"Ariana Grande, The Weeknd",2023,2,24,3408,518745108,67,C#,Minor
El Cielo,"Feid, Myke Towers, Sky Rompiendo",2023,6,2,1298,107753850,106,A#,Minor
Baby Don't Hurt Me,"David Guetta, Anne-Marie, Coi Leray",2023,4,6,4277,177740666,128,G,Major
AMARGURA,Karol G,2023,2,24,1133,153372011,107,F#,Minor
(It Goes Like) Nanana - Edit,Peggy Gou,2023,6,15,2259,57876440,130,G,Minor
Another Love,Tom Odell,2012,10,15,18371,1813673666,123,E,Minor
Blinding Lights,The Weeknd,2019,11,29,43899,3703895074,171,C#,Major
Moonlight,Kali Uchis,2023,2,24,2649,256483385,137,G,Minor
La Bachata,Manuel Turizo,2022,5,26,6804,1214083358,125,G,Minor
S91,Karol G,2023,7,14,525,16011326,128,,Minor
cardigan,Taylor Swift,2020,7,24,7923,812019557,130,,Minor
T��,"dennis, MC Kevin o Chris",2023,5,4,731,111947664,130,B,Major
Boy's a liar Pt. 2,"PinkPantheress, Ice Spice",2023,2,3,5184,156338624,133,F,Major
Left and Right (Feat. Jung Kook of BTS),"Charlie Puth, BTS, Jung Kook",2022,6,24,3107,720434240,101,D,Major
BESO,"Rauw Alejandro, ROSAL�",2023,3,24,4053,357925728,95,F,Minor
Hey Mor,"Ozuna, Feid",2022,10,6,4637,674072710,98,C#,Minor
Yellow,Chris Molitor,1999,1,1,31358,1755214421,173,B,Major
Karma,Taylor Swift,2022,10,21,3818,404562836,90,G#,Major
People,Libianca,2022,12,2,3506,373199958,198,A#,Minor
Overdrive,Post Malone,2023,7,14,410,14780425,140,C#,Major
Enchanted (Taylor's Version),Taylor Swift,2023,7,7,148,39578178,82,G#,Major
BABY HELLO,"Rauw Alejandro, Bizarrap",2023,6,23,1004,54266102,130,C#,Minor
Heat Waves,Glass Animals,2020,6,28,22543,2557975762,81,B,Major
golden hour,JVKE,2022,7,15,4511,751134527,94,C#,Minor
Sweater Weather,The Neighbourhood,2012,5,14,16413,2282771485,124,A#,Major
"Quevedo: Bzrp Music Sessions, Vol. 52","Bizarrap, Quevedo",2022,7,6,8506,1356565093,128,D,Major
Viva La Vida,Coldplay,2008,1,1,33898,1592909789,138,F,Minor
Here With Me,d4vd,2022,7,17,3246,635412045,132,E,Major
Unholy (feat. Kim Petras),"Sam Smith, Kim Petras",2022,9,22,8576,1230675890,131,D,Major
Yandel 150,"Yandel, Feid",2022,12,20,3618,585695368,168,F#,Minor
CORAZ��N VA,Maria Becerra,2023,6,22,370,43857627,98,C#,Major
Riptide,Vance Joy,1975,1,1,31123,2009094673,102,C#,Major
Until I Found You (with Em Beihold) - Em Beihold Version,"Em Beihold, Stephen Sanchez",2022,4,22,2790,600976848,101,A#,Major
Novidade na ��,"Mc Livinho, DJ Matt D",2023,6,23,267,39709092,130,F,Major
Back To December (Taylor's Version),Taylor Swift,2023,7,7,139,39228929,142,D,Major
STAY (with Justin Bieber),"Justin Bieber, The Kid Laroi",2021,7,9,17050,2665343922,170,C#,Major
El Merengue,"Marshmello, Manuel Turizo",2023,3,3,2114,223633238,124,G#,Minor
Someone You Loved,Lewis Capaldi,2018,11,8,17836,2887241814,110,C#,Major
